2026-04-24 16:54:00 INFO      Propagating wavelength = 1.52445e-06 m
2026-04-24 16:54:02 INFO      Propagating wavelength = 1.56515e-06 m
2026-04-24 16:54:03 INFO      Propagating wavelength = 1.60585e-06 m
2026-04-24 16:54:05 INFO      Propagating wavelength = 1.64655e-06 m
2026-04-24 16:54:06 INFO      Propagating wavelength = 1.68725e-06 m
2026-04-24 16:54:08 INFO      Propagating wavelength = 1.72795e-06 m
2026-04-24 16:54:09 INFO      Propagating wavelength = 1.76865e-06 m
2026-04-24 16:54:10 INFO       Calculation completed in 14.605 s
2026-04-24 16:54:10 INFO     PSF Calculation completed.
2026-04-24 16:54:10 INFO     Calculating jitter using gaussian
2026-04-24 16:54:10 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 16:54:10 INFO             resulting image peak drops to 0.973 of its previous value
2026-04-24 16:54:10 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 16:54:10 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 16:54:10 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 16:54:10 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 16:54:24 WARNING  max(qe) > 1.1; this seems weird?!
2026-04-24 16:54:24 WARNING  Found 1 pixels with implied qe > 2; clipping these to qe 2
2026-04-24 16:54:24 INFO     Adding 13 sources to image...
2026-04-24 16:54:24 WARNING  You requested fastpointsources, but the PSF and/or chromaticity are incompatible with this setting.  Disabling fastpointsources.
2026-04-24 16:54:25 INFO     Rendered 0 point sources in 0.05 seconds
2026-04-24 16:54:25 INFO     Rendered 13 total sources in 0.504 seconds
2026-04-24 16:54:29 INFO     Apportioning electrons to resultants...
/home/np274/roman_l2_job/.pixi/envs/default/lib/python3.12/site-packages/romanisim/persistence.py:252: RuntimeWarning: invalid value encountered in power
  * (x / x0)**alpha * (dt / 1000)**(-gamma))
2026-04-24 16:57:04 INFO     Adding IPC...
2026-04-24 16:57:23 INFO     Adding read noise...
2026-04-24 16:57:58 INFO     Fitting ramps.
2026-04-24 16:58:11 INFO     Simulation complete.
